feature,mean_abs_shap,group
PPT_season_sum_z,0.203545,G5
cec,0.202728,Gs
PPT_1,0.201069,G0
NDVI_3,0.199682,G0
TMAX_season_mean,0.197634,G1
EVI_1,0.197428,Other
VPDMIN_1,0.194985,Other
TMAX_1,0.187953,G0
EVI_11,0.186533,Other
VPDMIN_5,0.185246,Other
TMIN_season_mean,0.180936,G1
PPT_3,0.179522,G0
PPT_season_std,0.174779,G1
TMEAN_1,0.174024,G0
clay_percent,0.171802,Gs
VPDMIN_3,0.170992,Other
TMAX_7,0.164942,G0
NDVI_season_mean,0.160693,G1
TMEAN_season_sum,0.159993,G1
VPDMAX_11,0.159654,G0
VPDMAX_3,0.158457,G0
VPDMAX_season_mean,0.157703,G1
EVI_7,0.154783,Other
VPDMAX_8,0.154407,G0
TMIN_3,0.149077,G0
TDMEAN_1,0.147539,G0
GPP_11,0.141102,G0
TMEAN_season_mean_z,0.139169,G5
TMEAN_6,0.139018,G0
STATE,0.136101,Other
PPT_2,0.135728,G0
GPP_PPT_efficiency,0.130164,G4
VPDMIN_10,0.129250,Other
TMEAN_season_std,0.125294,G1
VPDMAX_6,0.124006,G0
awc,0.122271,Gs
TDMEAN_8,0.121129,G0
TMEAN_8,0.114132,G0
TMIN_5,0.109546,G0
TDMEAN_6,0.107369,G0
VPDMAX_9,0.103875,G0
TMAX_6,0.103329,G0
PPT_early_mean,0.102933,G2
TDMEAN_10,0.100773,G0
TMEAN_early_mean,0.098091,G2
TMIN_10,0.097256,G0
EVI_5,0.095756,Other
VPDMAX_2,0.092919,G0
TMIN_7,0.092530,G0
NDVI_2,0.092473,G0
TDMEAN_season_max,0.091633,G1
VPDMAX_5,0.091042,G0
TMAX_season_std,0.089343,G1
GPP_2,0.088412,G0
TDMEAN_5,0.084371,G0
PPT_4,0.083877,G0
TMIN_1,0.083676,G0
TMEAN_4,0.071865,G0
PPT_late_mean,0.071835,G2
NDVI_season_sum,0.068526,G1
GPP_1,0.064497,G0
TDMEAN_7,0.062577,G0
GPP_season_sum,0.062441,G1
NDVI_4,0.061165,G0
GPP_4,0.059004,G0
TMEAN_5,0.056479,G0
NDVI_5,0.055308,G0
NDVI_early_mean,0.049939,G2
TMAX_season_sum,0.046889,G1
TDMEAN_season_std,0.046068,G1
TMEAN_season_max,0.045686,G1
T_range_season_mean,0.044403,G3
TMEAN_season_mean,0.043269,G1
VPDMAX_season_sum,0.043172,G1
VPDMIN_season_mean,0.036589,G1
TMAX_4,0.032445,G0
PPT_season_sum,0.027062,G1
TMEAN_3,0.020893,G0
GPP_early_mean,0.020611,G2
VPDMAX_7,0.018719,G0
TDMEAN_season_sum,0.014371,G1
TMAX_10,0.011820,G0
VPDMIN_season_sum,0.011449,G1
EVI_season_sum,0.009375,G1
TMIN_season_sum,0.001672,G1
Heat_stress_months,0.000000,G3
