feature,mean_abs_shap,group
NDVI_season_max,8.904036,G1
NDVI_8,6.534446,G0
year,5.743804,Other
X,5.578107,Gs
NDVI_7,4.376971,G0
GPP_peak_mean,3.368591,G2
EVI_season_max,3.103436,G1
EVI_season_std,2.891155,G1
EVI_9,2.662203,Other
sand_percent,2.217531,Gs
GPP_8,2.190446,G0
organic_matter,2.171236,Gs
NDVI_season_mean_z,2.055797,G5
NDVI_season_std,1.860269,G1
GPP_season_mean,1.720845,G1
EVI_2,1.709709,Other
EVI_3,1.603392,Other
NDVI_peak_mean,1.441660,G2
EVI_8,1.340925,Other
pH,1.312859,Gs
PPT_peak_mean,1.308628,G2
TMEAN_peak_mean,1.245810,G2
NDVI_1,1.167073,G0
NDVI_9,1.140136,G0
TDMEAN_11,1.078340,G0
GPP_season_max,1.076457,G1
EVI_4,1.021353,Other
EVI_6,1.013217,Other
GPP_5,1.009931,G0
GPP_6,0.925199,G0
field_capacity,0.883188,Gs
NDVI_PPT_efficiency,0.837523,G4
Y,0.827683,Gs
TMEAN_9,0.801819,G0
TMEAN_2,0.789992,G0
PPT_9,0.743653,G0
VPDMIN_6,0.728985,Other
VPDMIN_4,0.723608,Other
TMAX_11,0.701718,G0
b_density,0.696241,Gs
saturated_hc,0.685958,Gs
TMEAN_10,0.655151,G0
aws,0.647661,Gs
TMIN_9,0.619066,G0
GPP_season_std,0.560105,G1
PPT_season_mean,0.523032,G1
GPP_9,0.501287,G0
TDMEAN_season_mean,0.501224,G1
TMIN_4,0.498661,G0
NDVI_6,0.454676,G0
TMIN_8,0.433096,G0
EVI_10,0.426153,Other
TMEAN_11,0.414370,G0
VPDMIN_2,0.406794,Other
TMAX_season_max,0.403999,G1
TMAX_5,0.403907,G0
TMEAN_7,0.391139,G0
TMEAN_late_mean,0.391073,G2
GPP_10,0.390324,G0
GPP_7,0.386847,G0
TDMEAN_9,0.383274,G0
VPDMAX_10,0.375515,G0
VPDMIN_season_std,0.374886,G1
VPDMAX_season_std,0.370758,G1
GPP_late_mean,0.370427,G2
TDMEAN_4,0.368035,G0
VPDMIN_9,0.367435,Other
TMAX_9,0.357895,G0
VPDMAX_season_max,0.345640,G1
PPT_6,0.333401,G0
TMIN_11,0.333068,G0
NDVI_11,0.332197,G0
VPDMIN_8,0.331045,Other
TMIN_6,0.326106,G0
PPT_10,0.325321,G0
TMAX_2,0.324425,G0
TMAX_3,0.313213,G0
TMIN_season_std,0.308319,G1
VPDMAX_4,0.283592,G0
NDVI_10,0.283479,G0
PPT_5,0.273908,G0
PPT_8,0.273480,G0
TMIN_2,0.260283,G0
wilting_point,0.252586,Gs
VPDMIN_season_max,0.250230,G1
TMAX_8,0.246151,G0
PPT_season_max,0.246010,G1
VPDMAX_1,0.243660,G0
VPDMIN_11,0.235609,Other
PPT_7,0.228197,G0
TMIN_season_max,0.226487,G1
EVI_season_mean,0.223801,G1
TDMEAN_3,0.221516,G0
PPT_11,0.219770,G0
VPDMIN_7,0.219145,Other
TDMEAN_2,0.217875,G0
GPP_3,0.217444,G0
NDVI_late_mean,0.217191,G2
