group,total_shap_importance,n_features,normalized_importance
G0,45.497528,88,50.050144
G1,29.607285,44,32.569878
G2,10.402661,12,11.443583
G5,3.503842,3,3.854447
G4,0.978911,2,1.076864
G3,0.913648,2,1.005070
